phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_eval_every,completed_folds,actual_epochs,actual_batch_size,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,score_required,purpose,run_dir
P4,kernel_and_segmentation_ablation,pending,sleep,gru,density_custom,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,pending,sleep,gru,density_custom,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,pending,sleep,gru,density_custom,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_weighted,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,15.0,0.4963586157123307,0.201110154378573,0.551820626356865,0.6434071580078717,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_weighted/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,pending,sleep,gru,seg_weighted,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,pending,sleep,gru,seg_weighted,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,scored,sleep,gru,seg_focal,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,13.75,0.3594692725525783,0.0166433385666363,0.5142161181162086,0.6051642115005316,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,experiments/sleep/gru/seg_focal/seed_0_objective_e20_bs32_eval5
P4,kernel_and_segmentation_ablation,pending,sleep,gru,seg_focal,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P4,kernel_and_segmentation_ablation,pending,sleep,gru,seg_focal,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Appendix ablations for BDL kernel choice and stronger segmentation losses.,
P5,prior_ablation,pending,sleep,gru,density_custom,0,prior_sparse_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Measure whether sparse-rate initialization matters.,
