dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,150.0,0.2237921211742826,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,150.0,0.2731784058110301,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,180.0,0.227800774867957,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,180.0,0.2831867531162295,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,240.0,0.2327692363856754,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,240.0,0.2930119095152256,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,300.0,0.236727159327096,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,300.0,0.2990327907044515,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg1,360.0,0.2393467892500395,,1
sleep,causal_transformer,seg,online_smoothing_e20_bs32_eval5,seg2,360.0,0.3023775643355621,,1
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,12.0,0.010493570401306267,0.0010212384944508087,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,36.0,0.06916560743228023,0.008498903690088686,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,60.0,0.13259201494810244,0.015869992875603638,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,90.0,0.18166341335966787,0.013635744329868773,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,120.0,0.2166665182329902,0.013418985836093467,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,150.0,0.24689779331467565,0.01447429202092153,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,180.0,0.27474210037558483,0.01488356549680265,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,240.0,0.3206849893194197,0.016005589176599267,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,300.0,0.35487982841950605,0.015803782622059004,3
sleep,fgru,density_hard,online_e20_bs32_eval5,density_hard,360.0,0.3801605742271367,0.01539891100404611,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,12.0,0.0008495214258851334,0.0004559919200715248,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,12.0,0.00034571319082596667,3.1141776229380386e-05,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,36.0,0.019236498057610633,0.008278430209916452,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,36.0,0.0093267141797748,0.0035266379452663053,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,60.0,0.09077039967071189,0.011774956206654166,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,60.0,0.06830694344875667,0.008461246632089785,3
sleep,fgru,seg,online_e20_bs32_eval5,seg1,90.0,0.18043262509463454,0.00940284712269654,3
sleep,fgru,seg,online_e20_bs32_eval5,seg2,90.0,0.16966558945707064,0.006741607219620427,3
